Agency,Department,Year,Requests Pending Start Year,Requests Received,Requests Processed,Requests Pending End Year,Released in Full Ratio,Released in Part Ratio,Denied in Full Ratio
DOD,DoD IG,2011,101,434,315,220,0.1034,0.7192,0.1773
DOD,DLA,2010,102,6858,6769,191,0.9594,0.0364,0.0041
DOD,PACOM,2008,103,93,145,51,0.4902,0.3137,0.1961
DOD,NGA,2015,108,94,141,61,0.321,0.5062,0.1728
DOD,DLA,2009,109,5866,5873,102,0.9542,0.0447,0.0011
DOD,DLA,2013,112,5286,5351,47,0.7804,0.2182,0.0014
DOD,DLA,2015,122,3811,3813,120,0.8036,0.1923,0.0041
DOD,SOUTHCOM,2008,127,138,168,97,0.0612,0.7653,0.1735
DOD,DLA,2008,134,5516,5541,109,0.9088,0.0749,0.0163
DOD,DISA,2010,142,558,639,61,0.5786,0.3545,0.0669
DOD,CENTCOM,2008,148,220,178,190,0.2778,0.7222,0
DOD,NGA,2012,151,89,154,86,0.1176,0.2353,0.6471
DOD,SOCOM,2013,157,140,112,185,0.1852,0.7037,0.1111
DOD,SOCOM,2011,159,198,186,171,0.322,0.5593,0.1186
DOD,CENTCOM,2015,166,272,200,238,0.092,0.8161,0.092
DOD,SOUTHCOM,2013,170,190,172,188,0.1887,0.8113,0
DOD,SOCOM,2012,171,179,195,155,0.2667,0.4667,0.2667
DOD,SOCOM,2010,172,155,168,159,0.3818,0.4364,0.1818
DOD,SOUTHCOM,2015,173,198,185,186,0.3333,0.6423,0.0244
DOD,DISA,2008,175,339,357,157,0.5054,0.4677,0.0269
DOD,DLA,2011,179,7302,7412,69,0.9499,0.0474,0.0027
DOD,SOCOM,2014,181,225,111,295,0.3793,0.4828,0.1379
DOD,NGA,2008,183,132,59,256,0.381,0.0952,0.5238
DOD,CENTCOM,2009,186,171,140,217,0.25,0.7,0.05
DOD,SOUTHCOM,2014,188,175,190,173,0.1515,0.8283,0.0202
DOD,CENTCOM,2012,192,429,388,233,0.0632,0.8391,0.0977
DOD,CENTCOM,2014,201,260,295,166,0.0886,0.7595,0.1519
DOD,NGA,2011,217,128,194,151,0.2123,0.3699,0.4178
DOD,CENTCOM,2010,217,337,309,245,0.145,0.7786,0.0763
DOD,DoD IG,2012,220,495,428,287,0.0578,0.7329,0.2094
DOD,CENTCOM,2013,227,295,321,201,0.0458,0.817,0.1373
DOD,SOCOM,2009,227,139,186,180,0.4727,0.4545,0.0727
DOD,DISA,2009,243,324,317,250,0.5986,0.3451,0.0563
DOD,CENTCOM,2011,245,297,350,192,0.1467,0.7772,0.0761
DOD,NGA,2009,256,154,119,291,0.2778,0.3889,0.3333
DOD,SOCOM,2008,283,158,198,243,0.6667,0.3125,0.0208
DOD,DoD IG,2013,288,682,496,474,0.0702,0.5385,0.3913
DOD,NGA,2010,291,244,318,217,0.4479,0.2917,0.2604
DOD,SOCOM,2015,291,285,253,323,0.35,0.45,0.2
DOD,NSA,2009,333,987,963,357,0.0572,0.3475,0.5953
DOD,NSA,2010,365,1243,1065,543,0.075,0.3844,0.5406
DOD,NSA,2008,386,1305,1358,333,0.0368,0.2723,0.6909
DOD,DoD IG,2014,474,764,660,578,0.0743,0.7054,0.2203
DOD,NSA,2011,543,1121,1110,554,0.0627,0.4453,0.492
DOD,NSA,2012,553,1809,1698,664,0.0509,0.2442,0.7049
DOD,DoD IG,2015,578,952,808,722,0.1247,0.7626,0.1127
DOD,NSA,2013,662,4328,4060,930,0.0222,0.0789,0.8989
DOD,DIA,2015,732,847,684,895,0.0498,0.7149,0.2353
DOD,DIA,2014,836,832,932,736,0.0824,0.7553,0.1624
DOD,NSA,2014,929,2990,2593,1326,0.0291,0.1719,0.799
DOD,AF,2013,958,6362,6283,1037,0.4122,0.5449,0.0429
DOD,AF,2012,960,6284,6302,942,0.4093,0.5406,0.0501
DOD,AF,2014,1035,6526,6439,1122,0.4136,0.5347,0.0517
DOD,AF,2011,1035,7170,7205,1000,0.5297,0.4196,0.0507
DOD,AF,2009,1121,7956,7868,1209,0.6094,0.3383,0.0524
DOD,AF,2008,1136,8287,8351,1072,0.6272,0.3121,0.0607
DOD,AF,2015,1145,6036,6191,990,0.4593,0.4882,0.0526
DOD,OSD/JS,2013,1147,1462,1347,1262,0.3943,0.5269,0.0789
DOD,AF,2010,1168,7812,7899,1081,0.5355,0.4003,0.0642
DOD,DIA,2013,1194,1312,1667,839,0.0574,0.772,0.1706
DOD,OSD/JS,2012,1255,1387,1494,1148,0.4326,0.477,0.0905
DOD,OSD/JS,2014,1268,1575,1526,1317,0.401,0.4809,0.1181
DOD,NSA,2015,1328,1767,1529,1566,0.0564,0.2988,0.6448
DOD,OSD/JS,2015,1330,1802,1666,1466,0.4089,0.4897,0.1014
DOD,OSD/JS,2011,1347,1543,1632,1258,0.4121,0.5142,0.0737
DOD,OSD/JS,2010,1561,1695,1899,1357,0.3565,0.5304,0.113
DOD,NAVY,2011,1587,14203,13599,2191,0.4563,0.4952,0.0485
DOD,DIA,2012,1630,1144,1592,1182,0.1066,0.7361,0.1574
DOD,NAVY,2010,1694,14303,14410,1587,0.4954,0.4562,0.0484
DOD,NAVY,2013,1774,12409,12107,2076,0.3032,0.6186,0.0782
DOD,NAVY,2009,1924,14476,14528,1872,0.5579,0.4002,0.0419
DOD,ARMY,2014,1993,31156,30743,2406,0.6826,0.2802,0.0372
DOD,ARMY,2012,2156,32871,32778,2249,0.6532,0.2953,0.0515
DOD,NAVY,2014,2190,9961,9380,2771,0.3587,0.5798,0.0615
DOD,NAVY,2012,2191,12708,13125,1774,0.398,0.5461,0.0559
DOD,ARMY,2013,2270,33056,33315,2011,0.6986,0.2673,0.0341
DOD,OSD/JS,2009,2293,1969,2424,1838,0.3825,0.5281,0.0894
DOD,DIA,2011,2305,730,1405,1630,0.0785,0.7739,0.1475
DOD,NAVY,2008,2325,14405,14928,1802,0.5427,0.413,0.0443
DOD,ARMY,2015,2400,29616,29300,2716,0.6897,0.2686,0.0417
DOD,OSD/JS,2008,2565,2002,2322,2245,0.4122,0.4775,0.1103
DOD,DIA,2010,2629,610,938,2301,0.0909,0.7838,0.1253
DOD,DIA,2009,2668,688,727,2629,0.0925,0.8497,0.0578
DOD,NAVY,2015,2751,9331,9327,2755,0.2827,0.6585,0.0588
DOD,DIA,2008,2795,1089,943,2941,0.2099,0.7728,0.0173
DOD,ARMY,2011,3561,38712,39967,2306,0.69,0.2726,0.0374
DOD,ARMY,2010,4437,37081,37681,3837,0.6292,0.3379,0.0329
DOD,ARMY,2008,4487,35688,35370,4805,0.6415,0.3239,0.0346
DOD,ARMY,2009,4783,32224,32570,4437,0.5537,0.4122,0.0341
DOE,ID,2014,0,27,26,1,0.6154,0.2308,0.1538
DOE,NR,2014,0,0,0,0,,,
DOE,CBFO,2014,0,0,0,0,,,
DOE,SEPA,2014,0,5,5,0,0,1,0
DOE,SPR,2013,0,3,2,1,1,0,0
DOE,NR,2013,0,0,0,0,,,
DOE,CBFO,2013,0,0,0,0,,,
DOE,SEPA,2013,0,5,5,0,1,0,0
DOE,SWPA,2013,0,10,7,3,1,0,0
DOE,WAPA,2012,0,35,34,1,0.56,0.36,0.08
DOE,SPR,2012,0,6,6,0,1,0,0
DOE,NR,2012,0,0,0,0,,,
DOE,SEPA,2012,0,6,6,0,1,0,0
DOE,ID,2011,0,35,32,3,0.6667,0.2857,0.0476
DOE,NR,2011,0,0,0,0,,,
DOE,ROO,2011,0,81,78,3,0.5577,0.3654,0.0769
DOE,CH,2011,0,66,65,1,0.7,0.2333,0.0667
DOE,CBFO,2011,0,7,6,1,1,0,0
DOE,SEPA,2011,0,5,5,0,0.75,0.25,0
DOE,SWPA,2011,0,6,3,3,1,0,0
DOE,SPR,2010,0,4,3,1,0.5,0.5,0
DOE,NR,2010,0,0,0,0,,,
DOE,NRLFO,2010,0,10,9,1,0.75,0.25,0
DOE,SEPA,2010,0,0,0,0,,,
DOE,SWPA,2010,0,6,6,0,0.6,0.4,0
DOE,PNSO,2009,0,19,19,0,0.9286,0.0714,0
DOE,OSTI,2009,0,7,6,1,1,0,0
DOE,SEPA,2009,0,8,8,0,0.8333,0,0.1667
DOE,SWPA,2009,0,7,7,0,0.5714,0.4286,0
DOE,SPR,2008,0,10,8,2,0.875,0.125,0
DOE,CBFO,2008,0,12,11,1,0.4,0.6,0
DOE,OSTI,2008,0,6,6,0,0.75,0.25,0
DOE,SEPA,2008,0,2,2,0,1,0,0
DOE,SWPA,2008,0,7,7,0,1,0,0
DOE,SRO,2015,0,49,45,4,0.75,0.1875,0.0625
DOE,NR,2015,0,0,0,0,,,
DOE,NRLFO,2015,0,2,2,0,0.5,0.5,0
DOE,CBFO,2015,0,21,14,7,1,0,0
DOE,SEPA,2015,0,24,24,0,1,0,0
DOE,NETL,2014,1,21,20,2,0.2778,0.6111,0.1111
DOE,SPR,2014,1,5,5,1,0.5,0,0.5
DOE,NRLFO,2014,1,5,6,0,0.6667,0.3333,0
DOE,WAPA,2013,1,24,23,2,0.6471,0.3529,0
DOE,OSTI,2013,1,8,6,3,1,0,0
DOE,CH,2012,1,76,72,5,0.8462,0.1154,0.0385
DOE,CBFO,2012,1,13,14,0,0.8182,0.0909,0.0909
DOE,OSTI,2012,1,13,13,1,1,0,0
DOE,WAPA,2011,1,35,36,0,0.4828,0.5172,0
DOE,SPR,2011,1,13,14,0,0.5833,0.4167,0
DOE,NRLFO,2011,1,17,14,4,0.5,0.5,0
DOE,ID,2010,1,35,36,0,0.7667,0.2,0.0333
DOE,WAPA,2010,1,24,24,1,0.7059,0.2353,0.0588
DOE,ROO,2010,1,105,106,0,0.6667,0.3218,0.0115
DOE,CBFO,2010,1,15,16,0,0.5455,0.3636,0.0909
DOE,OSTI,2010,1,3,2,2,1,0,0
DOE,WAPA,2009,1,32,32,1,0.3846,0.6154,0
DOE,SPR,2009,1,5,6,0,0.6667,0.3333,0
DOE,RL,2009,1,71,71,1,0.625,0.375,0
DOE,CBFO,2009,1,9,9,1,0.4,0.6,0
DOE,ID,2015,1,48,46,3,0.4783,0.4783,0.0435
DOE,SPR,2015,1,18,18,1,0.8571,0.1429,0
DOE,WAPA,2014,2,17,17,2,0.6,0.3,0.1
DOE,CH,2014,2,63,62,3,0.7727,0.2273,0
DOE,ID,2013,2,36,38,0,0.5,0.375,0.125
DOE,NRLFO,2013,2,7,8,1,0.6667,0.3333,0
DOE,OSTI,2011,2,4,5,1,0.8,0.2,0
DOE,BPA,2010,2,118,101,19,0.7,0.2625,0.0375
DOE,ID,2009,2,40,41,1,0.8148,0.1481,0.037
DOE,CH,2009,2,51,48,5,0.8889,0.0556,0.0556
DOE,SROO,2009,2,51,48,5,0.5517,0.4483,0
DOE,WAPA,2008,2,14,15,1,0.4545,0.5455,0
DOE,NR,2008,2,9,7,4,1,0,0
DOE,CH,2008,2,47,47,2,0.8077,0.1923,0
DOE,GFO,2008,2,48,43,7,0.2188,0.5,0.2813
DOE,PNSO,2008,2,8,10,0,1,0,0
DOE,NETL,2015,2,25,24,3,0.6111,0.3889,0
DOE,WAPA,2015,2,50,50,2,0.1892,0.7838,0.027
DOE,SWPA,2015,2,22,22,2,1,0,0
DOE,SRO,2014,3,24,27,0,0.7333,0.2667,0
DOE,OSTI,2014,3,17,14,6,1,0,0
DOE,SWPA,2014,3,9,10,2,0.5,0.5,0
DOE,NETL,2013,3,27,29,1,0.1765,0.7647,0.0588
DOE,SRO,2013,3,42,42,3,0.871,0.0323,0.0968
DOE,ID,2012,3,39,40,2,0.4444,0.3333,0.2222
DOE,SRO,2012,3,41,41,3,0.9259,0.0741,0
DOE,NRLFO,2012,3,6,7,2,0.4,0.6,0
DOE,ROO,2012,3,95,94,4,0.8,0.2,0
DOE,SWPA,2012,3,7,10,0,0.5,0.3333,0.1667
DOE,GFO,2011,3,255,242,16,0.4713,0.5159,0.0127
DOE,EMCBC,2011,3,38,38,3,0.5,0.5,0
DOE,NETL,2009,3,67,61,9,0.617,0.2766,0.1064
DOE,NR,2009,3,13,16,0,0.75,0.25,0
DOE,BPA,2009,3,53,54,2,0.6471,0.3529,0
DOE,ID,2008,3,39,40,2,0.871,0.0968,0.0323
DOE,ROO,2015,3,98,98,3,0.5238,0.4603,0.0159
DOE,CH,2015,3,80,79,4,0.8333,0.1667,0
DOE,ROO,2013,4,100,95,9,0.5909,0.3788,0.0303
DOE,EMCBC,2012,4,46,44,6,0.6522,0.3478,0
DOE,EMCBC,2008,4,33,28,9,0.6364,0.2727,0.0909
DOE,ORO,2015,4,209,207,6,0.9554,0.0446,0
DOE,GFO,2015,4,111,107,8,0.6111,0.3889,0
DOE,CH,2013,5,63,66,2,0.8125,0.1875,0
DOE,GFO,2013,5,269,253,21,0.8233,0.1721,0.0047
DOE,EMCBC,2013,5,69,60,14,0.7667,0.2,0.0333
DOE,SRO,2010,5,57,54,8,0.5789,0.3684,0.0526
DOE,CH,2010,5,58,63,0,0.9375,0.0625,0
DOE,NETL,2008,5,48,50,3,0.2759,0.7241,0
DOE,BPA,2008,5,60,62,3,0.5714,0.4286,0
DOE,NETL,2012,6,47,50,3,0.5,0.5,0
DOE,EMCBC,2010,6,30,33,3,0.625,0.375,0
DOE,OSTI,2015,6,40,41,5,0.8889,0,0.1111
DOE,GFO,2009,7,68,62,13,0.2581,0.5484,0.1935
DOE,NETL,2011,8,69,71,6,0.2449,0.7551,0
DOE,SRO,2011,8,57,62,3,0.8723,0.1064,0.0213
DOE,ROO,2014,9,84,90,3,0.4737,0.5263,0
DOE,ORO,2012,9,255,248,16,0.9318,0.0625,0.0057
DOE,BPA,2012,9,82,80,11,0.5625,0.4375,0
DOE,NETL,2010,9,89,90,8,0.1772,0.8101,0.0127
DOE,EMCBC,2009,9,38,40,7,0.5882,0.3529,0.0588
DOE,RL,2008,9,90,98,1,0.6104,0.2468,0.1429
DOE,BPA,2013,11,133,106,38,0.7532,0.2468,0
DOE,GFO,2010,12,197,206,3,0.6226,0.3648,0.0126
DOE,SROO,2008,12,37,47,2,0.6667,0.2963,0.037
DOE,EMCBC,2014,14,73,65,22,0.5,0.5,0
DOE,ORO,2011,14,219,223,10,0.8793,0.1207,0
DOE,ORO,2009,14,259,246,27,0.9392,0.0608,0
DOE,ORO,2013,16,212,207,21,0.9172,0.0828,0
DOE,GFO,2012,17,256,268,5,0.471,0.5217,0.0072
DOE,BPA,2011,19,115,125,9,0.7439,0.2317,0.0244
DOE,ORO,2014,21,206,222,5,0.9357,0.0643,0
DOE,EMCBC,2015,22,77,86,13,0.6087,0.3696,0.0217
DOE,ORO,2010,23,240,249,14,0.9239,0.0761,0
DOE,GFO,2014,24,316,336,4,0.559,0.4359,0.0051
DOE,BPA,2014,37,159,141,55,0.6364,0.3273,0.0364
DOE,BPA,2015,55,105,134,26,0.5529,0.4471,0
DOE,ORO,2008,60,277,323,14,0.9331,0.0669,0
DOE,NNSA/AL,2008,102,354,321,135,0.683,0.2679,0.0491
DOE,HQ,2009,125,702,658,169,0.5871,0.3864,0.0265
DOE,HQ,2010,169,897,851,215,0.4763,0.5,0.0237
DOE,NNSA,2010,172,318,300,190,0.6802,0.2995,0.0203
DOE,NNSA/AL,2009,183,309,320,172,0.6986,0.2775,0.0239
DOE,NNSA,2011,190,281,272,199,0.6648,0.3184,0.0168
DOE,HQ,2015,190,1075,1108,157,0.4416,0.5347,0.0238
DOE,HQ,2014,196,898,902,192,0.3602,0.5995,0.0403
DOE,NNSA,2012,200,323,291,232,0.7799,0.1887,0.0314
DOE,HQ,2008,210,504,589,125,0.5346,0.4269,0.0385
DOE,HQ,2011,215,1012,931,296,0.3727,0.5958,0.0315
DOE,NNSA,2015,226,302,340,188,0.5459,0.4203,0.0338
DOE,NNSA,2013,232,267,233,266,0.7778,0.2148,0.0074
DOE,HQ,2013,259,803,866,196,0.355,0.6125,0.0325
DOE,NNSA,2014,260,290,326,224,0.614,0.3767,0.0093
DOE,HQ,2012,290,911,940,261,0.3795,0.5795,0.0409
DOI,FOIA/PA Appeals,2014,,,,,,,
DOI,OES,2013,,,,,,,
DOI,FOIA/PA Appeals,2013,,,,,,,
DOI,OES,2012,,,,,,,
DOI,FOIA/PA Appeals,2012,,,,,,,
DOI,Appeals,2011,,,,,,,
DOI,OES,2011,,,,,,,
DOI,Appeals,2010,,,,,,,
DOI,OCIO,2010,,,,,,,
DOI,Appeals,2009,,,,,,,
DOI,OCIO,2009,,,,,,,
DOI,Appeals,2008,,,,,,,
DOI,OCIO,2008,,,,,,,
DOI,FOIA/PA Appeals,2015,,,,,,,
DOI,OSM,2009,5,37,35,7,0.9286,0.0714,0
DOI,OSM,2008,5,54,56,3,0.7436,0.2564,0
DOI,OSM,2010,7,42,41,8,0.8889,0.1111,0
DOI,USGS,2008,8,143,150,1,0.6634,0.297,0.0396
DOI,BOR,2013,9,234,219,24,0.6364,0.3388,0.0248
DOI,OSM,2011,9,69,61,17,0.7105,0.2895,0
DOI,BOR,2008,9,200,187,22,0.7919,0.1745,0.0336
DOI,OSM,2014,10,72,63,19,0.75,0.25,0
DOI,OSM,2013,12,61,63,10,0.8387,0.1613,0
DOI,BOR,2015,13,350,345,18,0.6378,0.3367,0.0255
DOI,USGS,2013,15,169,168,16,0.8347,0.1322,0.0331
DOI,USGS,2010,15,170,158,27,0.8257,0.1651,0.0092
DOI,USGS,2014,16,164,146,34,0.8065,0.1828,0.0108
DOI,BOEM,2014,17,94,92,19,0.5769,0.4038,0.0192
DOI,USGS,2012,17,162,165,14,0.8374,0.1545,0.0081
DOI,OSM,2012,17,66,71,12,0.6957,0.3043,0
DOI,BOEM,2012,17,83,75,25,0.7115,0.2115,0.0769
DOI,USGS,2009,17,146,147,16,0.6186,0.3093,0.0722
DOI,OSM,2015,18,117,116,19,0.7143,0.2857,0
DOI,BOEM,2015,19,171,165,25,0.7,0.2875,0.0125
DOI,OIG,2015,23,212,215,20,0.2748,0.5344,0.1908
DOI,BOR,2014,24,269,280,13,0.6792,0.283,0.0377
DOI,BOEM,2013,25,87,94,18,0.6304,0.3696,0
DOI,MMS,2008,27,180,183,24,0.7103,0.2621,0.0276
DOI,USGS,2011,28,160,168,20,0.7768,0.2054,0.0179
DOI,BSEE,2014,31,153,153,31,0.5567,0.4124,0.0309
DOI,BSEE,2015,31,254,244,41,0.626,0.3435,0.0305
DOI,BOR,2009,32,202,198,36,0.8105,0.1373,0.0523
DOI,MMS,2009,32,222,218,36,0.7882,0.1941,0.0176
DOI,BOR,2010,34,274,271,37,0.8636,0.1162,0.0202
DOI,BOEMRE,2010,35,421,306,150,0.8465,0.1488,0.0047
DOI,USGS,2015,35,213,219,29,0.7029,0.2681,0.029
DOI,SOL,2014,36,80,66,50,0.4516,0.3871,0.1613
DOI,BOR,2012,36,227,254,9,0.5337,0.411,0.0552
DOI,BOR,2011,37,277,278,36,0.7269,0.2467,0.0264
DOI,NPS,2008,38,869,850,57,0.6717,0.295,0.0332
DOI,SOL,2011,43,50,42,51,0.6818,0.2727,0.0455
DOI,SOL,2009,44,95,75,64,0.6571,0.2857,0.0571
DOI,SOL,2008,49,80,66,63,0.3409,0.5,0.1591
DOI,SOL,2015,50,102,118,34,0.7308,0.2115,0.0577
DOI,OIG,2014,52,133,162,23,0.0901,0.7207,0.1892
DOI,SOL,2012,54,78,70,62,0.6286,0.2571,0.1143
DOI,SOL,2010,54,64,75,43,0.75,0.125,0.125
DOI,SOL,2013,62,72,90,44,0.5926,0.3333,0.0741
DOI,OS,2014,63,447,440,70,0.6699,0.3204,0.0097
DOI,OS,2015,66,571,547,90,0.7395,0.2452,0.0153
DOI,OIG,2013,67,98,113,52,0.1687,0.7108,0.1205
DOI,OS,2008,68,477,476,69,0.595,0.395,0.01
DOI,BSEE,2012,70,174,151,93,0.6211,0.3368,0.0421
DOI,NPS,2010,80,900,895,85,0.716,0.2246,0.0594
DOI,OIG,2012,81,90,105,66,0.0959,0.7397,0.1644
DOI,OS,2013,83,403,431,55,0.5609,0.4261,0.013
DOI,OS,2009,85,503,391,197,0.7143,0.2582,0.0275
DOI,BSEE,2013,87,183,238,32,0.5655,0.4048,0.0298
DOI,NPS,2011,92,858,835,115,0.6347,0.3103,0.055
DOI,FWS,2008,97,802,790,109,0.8341,0.1355,0.0304
DOI,BIA,2013,109,2011,1956,164,0.6744,0.2972,0.0284
DOI,BLM,2008,110,990,996,104,0.6289,0.3484,0.0226
DOI,BLM,2010,111,1094,1023,182,0.5628,0.4221,0.0152
DOI,BLM,2009,114,922,922,114,0.5939,0.3843,0.0218
DOI,NPS,2009,115,857,859,113,0.7473,0.2179,0.0348
DOI,NPS,2012,117,921,906,132,0.5572,0.3801,0.0627
DOI,BIA,2012,117,1696,1708,105,0.7078,0.2596,0.0326
DOI,BIA,2011,122,1385,1383,124,0.7491,0.2233,0.0276
DOI,OS,2010,129,445,449,125,0.765,0.2166,0.0184
DOI,NPS,2014,133,764,712,185,0.559,0.3854,0.0556
DOI,NPS,2013,134,800,810,124,0.5798,0.3628,0.0574
DOI,OS,2012,134,466,517,83,0.5233,0.4624,0.0143
DOI,OS,2011,134,472,480,126,0.71,0.2641,0.026
DOI,FWS,2009,134,1180,1160,154,0.8526,0.1294,0.018
DOI,BIA,2015,140,1869,1817,192,0.5753,0.3833,0.0414
DOI,BLM,2015,141,835,796,180,0.5289,0.4513,0.0199
DOI,FWS,2010,144,1241,1142,243,0.8402,0.1471,0.0126
DOI,FWS,2013,148,1265,1242,171,0.7201,0.2461,0.0338
DOI,BOEMRE,2011,148,229,280,97,0.782,0.1991,0.019
DOI,BLM,2013,155,942,939,158,0.5181,0.4458,0.0361
DOI,BIA,2010,156,1378,1410,124,0.667,0.3028,0.0302
DOI,BLM,2014,159,760,778,141,0.5188,0.4455,0.0356
DOI,BLM,2011,160,1061,1040,181,0.6362,0.3497,0.014
DOI,BIA,2014,162,1564,1587,139,0.6232,0.3223,0.0544
DOI,FWS,2012,172,1226,1260,138,0.7587,0.2116,0.0297
DOI,OIG,2011,176,56,154,78,0.0814,0.8023,0.1163
DOI,BIA,2009,176,975,1004,147,0.6496,0.3268,0.0236
DOI,BLM,2012,178,979,1003,154,0.536,0.4352,0.0288
DOI,BIA,2008,179,934,923,190,0.6407,0.335,0.0244
DOI,FWS,2011,181,1192,1188,185,0.7649,0.1978,0.0373
DOI,NPS,2015,182,804,843,143,0.4795,0.4763,0.0442
DOI,FWS,2014,194,1264,1168,290,0.7287,0.2281,0.0432
DOI,OIG,2010,253,98,175,176,0.1081,0.7297,0.1622
DOI,OIG,2008,255,81,73,263,0.1282,0.5641,0.3077
DOI,OIG,2009,263,69,79,253,0.0682,0.75,0.1818
DOI,FWS,2015,283,1294,1332,245,0.5491,0.407,0.044
DOJ,CRS,2014,0,11,9,2,1,0,0
DOJ,COPS,2014,0,57,57,0,0.7021,0.2766,0.0213
DOJ,FCSC,2014,0,11,10,1,0.4286,0.4286,0.1429
DOJ,COPS,2013,0,63,63,0,0.551,0.3878,0.0612
DOJ,OFDT,2013,0,0,0,0,,,
DOJ,OIPL,2013,0,0,0,0,,,
DOJ,PRAO,2012,0,32,30,2,0.7,0.3,0
DOJ,CRS,2012,0,25,24,1,0.5,0.5,0
DOJ,Pardon Attorney,2012,0,129,127,2,0.5165,0.4725,0.011
DOJ,COPS,2012,0,92,92,0,0.6071,0.3929,0
DOJ,COPS,2011,0,53,53,0,0.6129,0.3871,0
DOJ,ODR,2011,0,12,11,1,1,0,0
DOJ,OIG,2011,0,243,234,9,0.1615,0.6462,0.1923
DOJ,OVW,2010,0,59,57,2,0.4186,0.4884,0.093
DOJ,CRS,2010,0,10,9,1,1,0,0
DOJ,COPS,2010,0,73,73,0,0.814,0.186,0
DOJ,FCSC,2010,0,20,19,1,0.4,0.6,0
DOJ,ODR,2010,0,9,9,0,,,
DOJ,OCDETF,2010,0,7,1,6,,,
DOJ,OVW,2009,0,44,44,0,0.25,0.75,0
DOJ,PRAO,2009,0,17,16,1,0.25,0.5,0.25
DOJ,CRS,2009,0,7,7,0,0,0,1
DOJ,COPS,2009,0,66,66,0,0.878,0.122,0
DOJ,FCSC,2009,0,25,25,0,0,0.9333,0.0667
DOJ,USNCB,2009,0,204,177,27,0.1273,0.5818,0.2909
DOJ,ODR,2009,0,7,7,0,,,
DOJ,CRS,2008,0,11,11,0,0,1,0
DOJ,Pardon Attorney,2008,0,78,70,8,0.4,0.5667,0.0333
DOJ,COPS,2008,0,51,51,0,0.6452,0.3548,0
DOJ,FCSC,2008,0,15,15,0,0,1,0
DOJ,USNCB,2008,0,219,219,0,0.1571,0.4714,0.3714
DOJ,ODR,2008,0,13,13,0,,,
DOJ,COPS,2015,0,88,85,3,0.35,0.65,0
DOJ,Pardon Attorney,2014,1,85,58,28,0.5957,0.4043,0
DOJ,CRS,2013,1,16,17,0,0.6,0.4,0
DOJ,FCSC,2012,1,26,25,2,0.375,0.625,0
DOJ,TAX,2012,1,154,151,4,0.5,0.4464,0.0536
DOJ,OCDETF,2012,1,30,28,3,0.3333,0.3333,0.3333
DOJ,CRS,2011,1,10,11,0,0.25,0.25,0.5
DOJ,Pardon Attorney,2011,1,103,104,0,0.3117,0.6623,0.026
DOJ,FCSC,2011,1,31,31,1,0.5,0.4375,0.0625
DOJ,PRAO,2010,1,16,15,2,1,0,0
DOJ,OVW,2008,1,35,36,0,0.2857,0.7143,0
DOJ,PRAO,2008,1,15,16,0,0.75,0,0.25
DOJ,PRAO,2015,1,31,31,1,0.5,0.4167,0.0833
DOJ,FCSC,2015,1,39,40,0,0.8966,0.0345,0.069
DOJ,USNCB,2015,1,207,201,7,0.0515,0.4948,0.4536
DOJ,PRAO,2013,2,19,18,3,0.5,0.5,0
DOJ,Pardon Attorney,2013,2,70,71,1,0.4906,0.4717,0.0377
DOJ,FCSC,2013,2,18,20,0,0.25,0.75,0
DOJ,OVW,2012,2,79,71,10,0.3684,0.6316,0
DOJ,OFDT,2012,2,43,44,1,0.5,0.5,0
DOJ,OVW,2011,2,69,69,2,0.434,0.566,0
DOJ,PRAO,2011,2,25,27,0,0.4286,0.5714,0
DOJ,OFDT,2011,2,19,19,2,0.6,0.4,0
DOJ,Pardon Attorney,2010,2,80,81,1,0.5667,0.35,0.0833
DOJ,TAX,2009,2,146,133,15,0.52,0.28,0.2
DOJ,OFDT,2008,2,55,53,4,0.5,0.5,0
DOJ,CRS,2015,2,19,19,2,0.3333,0,0.6667
DOJ,PRAO,2014,3,12,14,1,0.2,0.6,0.2
DOJ,OCDETF,2013,3,54,50,7,0.1579,0.1579,0.6842
DOJ,OIPL,2012,3,19,22,0,0.6667,0.3333,0
DOJ,TAX,2011,3,107,109,1,0.36,0.36,0.28
DOJ,OIPL,2011,3,40,40,3,1,0,0
DOJ,OFDT,2010,3,34,35,2,0.5625,0.4375,0
DOJ,TAX,2008,3,196,197,2,0.1333,0.6,0.2667
DOJ,OIPL,2008,3,10,8,5,,,
DOJ,OCDETF,2015,3,62,57,8,0.0833,0.1667,0.75
DOJ,USNCB,2013,4,209,208,5,0.12,0.72,0.16
DOJ,TAX,2013,4,121,116,9,0.4681,0.2979,0.234
DOJ,OFDT,2009,4,70,71,3,0.4063,0.5625,0.0313
DOJ,OVW,2014,5,87,75,17,0.3385,0.6615,0
DOJ,USNCB,2014,5,194,198,1,0.0833,0.6019,0.3148
DOJ,EOUST,2012,5,79,78,6,0.36,0.6,0.04
DOJ,ENRD,2011,5,109,107,7,0.3099,0.662,0.0282
DOJ,OIPL,2009,5,21,18,8,0.25,0.75,0
DOJ,OSG,2008,5,143,148,0,0.46,0.21,0.33
DOJ,Public Affairs,2008,5,15,12,8,0,0.5,0.5
DOJ,EOUST,2013,6,82,78,10,0.2857,0.5238,0.1905
DOJ,NDIC,2011,6,54,56,4,0.4,0.6,0
